ANIO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2010,160.87,162.79,165.36,162.93,160.63,168.17,167.79,165.87,169.82,176.09,179.93,179.18
2011,178.9,178.9,177.63,181.99,186.21,187.61,189.77,188.5,183.02,181.61,182.5,179.42
2012,176.98,175.71,175.47,175.71,174.55,175.47,174.45,173.28,173.42,173.14,173.93,173.04
2013,173.28,174.17,174.96,174.55,174.69,175.58,175.47,174.55,174.45,173.55,173.93,174.17
2014,175.58,175.47,175.34,176.37,180.58,184.8,189.53,192.58,191.07,193.1,191.83,190.42
2015,190.66,193.61,196.56,200.26,200.91,203.59,205.27,205.89,204.1,203.45,202.18,203.86
2016,206.54,205.13,201.53,199.7,201.55,198.83,200.45,199.21,198.63,196.65,196.97,194.58
2017,194.57,196.69,194.75,198.2,195.2,198.45,203.51,199.2,196.87,197.79,199.77,200.39
2018,200.19,197.5,196.53,197.15,196.57,198.76,200.76,199.73,199.36,199.74,202.9,200.86
2019,200.96,200.58,200.19,200.53,199.84,202.37,200.68,199.49,198.54,198.14,199.63,199.3
2020,200.41,199.24,198.9,201.26,209.83,211.44,209.33,203.72,200.65,197.69,200.54,198.14
2021,199.24,200.41,201.31,200.13,201.04,203.72,202.7,204.75,205.43,212.55,214.14,211.81
2022,213.4261,215.4453,220.9461,223.8628,227.3877,235.4694,238.7118,238.9509,237.8948,239.8664,240.6423,240.3664
2023,245.024,249.7049,249.0891,0,0,0,0,0,0,0,0,0
2010,112.18,115.54,118.46,112.9,110.85,116.54,115.95,117.29,121.68,123.7,127.37,128.67
2011,132.75,136.7,137.59,144,149.42,151.61,152.19,151.61,148.39,145.75,141.98,140.37
2012,138.03,137.59,137.01,137.14,134.5,133.2,131.31,131.76,131.59,130.56,129.39,127.37
2013,126.93,126.34,126.62,125.45,125.62,125.76,124.73,124.59,124.29,123.7,123.43,123.43
2014,122.98,123.26,124.15,125.76,128.81,130.29,133.51,138.45,138.31,139.06,135.98,133.51
2015,134.95,139.92,143.42,145.03,144.89,149.42,151.03,153.81,149.28,148.25,146.06,145.92
2016,148.11,144.31,141.81,141.2,143.22,143.05,140.77,143.02,144.27,139.92,141.51,138.91
2017,141.43,143.71,139.53,144.65,134.69,138.84,141.38,138.03,138.15,138.22,137.35,137.84
2018,140.72,138.94,142.39,143.22,138.81,141.18,144.29,149.44,149.04,148.89,150.74,150.57
2019,144.91,143.4,145.57,144.04,145.78,144.43,144.14,145.35,144.9,145.96,144.07,141.23
2020,145.4,145.86,145.9,141.96,146.96,151.81,146.62,145.04,142.82,138.76,146.65,141.63
2021,141.68,143.67,144.71,143.77,145.09,146.31,145.34,148.09,147.12,153.55,153.2,151.88
2022,157.132,156.4966,158.3306,163.9286,163.3632,173.7395,178.0716,179.4674,173.9719,183.3553,183.4719,181.5402
2023,185.2632,187.0798,188.7335,0,0,0,0,0,0,0,0,0
